Key,Korean (KO),English (EN)
"trading.buyLong","매수 / 롱","Buy / Long"
"trading.sellShort","매도 / 숏","Sell / Short"
"trading.value","가치","Value"
"trading.balance","잔액","Balance"
"trading.available","사용 가능","Available"
"trading.forcedLiquidation","강제 청산","Forced Liquidation"
"trading.exchangeRate","환율","Exchange Rate"
"trading.fee","수수료","Fee"
"trading.recharge","충전","Recharge"
"trading.orderBook","호가창","Order Book"
"trading.recentTrades","최근 거래","Recent Trades"
"trading.time","시간","Time"
"trading.position","포지션","Position"
"trading.currentOrders","현재 주문","Current Orders"
"trading.orderHistory","주문 내역","Order History"
"trading.closeAll","전체 청산","Close All"
"trading.cancelAll","전체 취소","Cancel All"
"trading.unrealizedPNL","미실현 손익","Unrealized PNL"
"trading.roe","투자수익률","ROE"
"trading.pMargin","포지션 마진","P.Margin"
"trading.mMargin","유지 마진","M.Margin"
"trading.entryPrice","진입가","Entry Price"
"trading.currentPrice","현재가","Current Price"
"trading.liqPrice","청산가","Liq. Price"
"trading.closePosition","포지션 청산","Close Position"
"trading.symbol","심볼","Symbol"
"trading.direction","방향","Direction"
"trading.quantity","수량","Quantity"
"trading.orderPrice","주문가","Order Price"
"trading.orderType","주문 타입","Order Type"
"trading.orderID","주문 ID","Order ID"
"trading.createdAt","생성 시간","Created At"
"trading.cancel","취소","Cancel"
"trading.status","상태","Status"
"trading.liquidationPrice","청산가","Liquidation Price"
"trading.pnl","손익","P&L"
"trading.openingFee","개설 수수료","Opening Fee"
"trading.closedFee","청산 수수료","Closed Fee"
"trading.fundingFee","자금 수수료","Funding Fee"
"trading.total","총량","Total"
"trading.executionPrice","체결 가격","Execution Price"
"trading.tradeType","거래 유형","Trade Type"
"trading.closingPnl","청산 PnL","Closing PnL"
"trading.entryFee","진입 수수료","Entry Fee"
"trading.closingFee","청산 수수료","Closing Fee"
"trading.liquidationType","청산 유형","Liquidation Type"
"trading.liquidationTime","청산 시간","Liquidation Time" 
